OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Discount,Sales,Cost,Profit,OrderPriority
O00030,2024-01-31,C0080,P004,3,301.34,0.0,904.02,542.41,361.61,Medium
O00031,2024-02-26,C0017,P034,5,474.7,0.05,2254.82,1424.1,830.72,Low
O00032,2023-08-21,C0040,P019,3,218.81,0.15,557.97,393.86,164.11,Medium
O00033,2023-02-07,C0090,P045,3,133.1,0.15,339.4,239.58,99.82,Medium
O00034,2024-09-22,C0147,P011,5,15.19,0.0,75.95,45.57,30.38,High
O00035,2023-07-24,C0075,P048,5,262.43,0.1,1180.94,787.29,393.65,Critical
O00036,2024-09-06,C0107,P041,2,65.41,0.1,117.74,78.49,39.25,Low
O00037,2023-08-17,C0073,P007,1,33.75,0.15,28.69,20.25,8.44,Critical
O00038,2024-03-17,C0135,P012,4,485.11,0.0,1940.44,1164.26,776.18,Medium
O00039,2024-09-16,C0099,P050,1,96.5,0.0,96.5,57.9,38.6,Low
O00040,2023-04-17,C0144,P043,3,22.02,0.0,66.06,39.64,26.42,Critical
O00041,2024-12-28,C0008,P044,2,455.11,0.05,864.71,546.13,318.58,Medium
O00042,2024-02-16,C0189,P012,8,485.11,0.0,3880.88,2328.53,1552.35,High
O00043,2024-09-29,C0020,P031,1,305.73,0.0,305.73,183.44,122.29,Critical
O00044,2023-08-04,C0198,P015,3,95.0,0.1,256.5,171.0,85.5,Medium
O00045,2023-04-24,C0167,P026,4,393.66,0.15,1338.44,944.78,393.66,Medium
O00046,2024-06-01,C0046,P045,1,133.1,0.0,133.1,79.86,53.24,Critical
O00047,2024-09-04,C0081,P045,2,133.1,0.0,266.2,159.72,106.48,High
O00048,2023-10-25,C0109,P032,4,89.41,0.15,303.99,214.58,89.41,Low
O00049,2024-03-28,C0124,P026,3,393.66,0.05,1121.93,708.59,413.34,Critical
O00050,2024-05-23,C0118,P015,3,95.0,0.0,285.0,171.0,114.0,High
O00051,2024-02-05,C0159,P043,3,22.02,0.0,66.06,39.64,26.42,Low
O00052,2023-02-26,C0054,P034,5,474.7,0.0,2373.5,1424.1,949.4,Critical
O00053,2024-09-01,C0080,P007,5,33.75,0.05,160.31,101.25,59.06,Low
O00054,2023-07-07,C0194,P043,4,22.02,0.0,88.08,52.85,35.23,High
O00055,2023-06-23,C0099,P024,4,186.35,0.15,633.59,447.24,186.35,Critical
O00056,2023-02-04,C0010,P001,4,190.4,0.0,761.6,456.96,304.64,Critical
O00057,2023-07-19,C0003,P039,4,343.7,0.0,1374.8,824.88,549.92,Medium
O00058,2024-04-02,C0171,P041,5,65.41,0.1,294.34,196.23,98.11,High
O00059,2024-12-13,C0174,P001,3,190.4,0.1,514.08,342.72,171.36,Low
O00060,2024-03-30,C0120,P003,5,367.34,0.0,1836.7,1102.02,734.68,Medium
O00061,2023-10-29,C0097,P034,3,474.7,0.0,1424.1,854.46,569.64,Medium
O00062,2024-10-16,C0164,P025,5,230.75,0.0,1153.75,692.25,461.5,Medium
O00063,2023-03-29,C0041,P032,1,89.41,0.05,84.94,53.65,31.29,Medium
O00064,2023-11-19,C0174,P045,3,133.1,0.0,399.3,239.58,159.72,High
O00065,2023-04-24,C0079,P019,5,218.81,0.0,1094.05,656.43,437.62,Medium
O00066,2023-07-10,C0103,P015,1,95.0,0.1,85.5,57.0,28.5,Critical
O00067,2024-12-30,C0031,P019,2,218.81,0.1,393.86,262.57,131.29,Medium
O00068,2023-10-08,C0013,P047,2,159.3,0.05,302.67,191.16,111.51,High
O00069,2024-03-18,C0132,P015,4,95.0,0.1,342.0,228.0,114.0,Medium
O00070,2024-09-01,C0049,P032,1,89.41,0.15,76.0,53.65,22.35,Critical
O00071,2023-05-16,C0157,P043,4,22.02,0.05,83.68,52.85,30.83,Medium
O00072,2024-12-24,C0168,P037,3,155.78,0.0,467.34,280.4,186.94,Critical
O00073,2023-09-05,C0143,P033,1,37.2,0.05,35.34,22.32,13.02,Low
O00074,2023-02-07,C0168,P003,3,367.34,0.0,1102.02,661.21,440.81,High
O00075,2024-06-18,C0040,P024,4,186.35,0.05,708.13,447.24,260.89,Medium
O00076,2024-09-20,C0094,P040,2,222.88,0.1,401.18,267.46,133.72,High
O00077,2024-02-23,C0108,P037,2,155.78,0.15,264.83,186.94,77.89,Medium
O00078,2024-10-05,C0086,P038,2,53.35,0.0,106.7,64.02,42.68,High
O00079,2023-02-12,C0016,P018,3,264.75,0.0,794.25,476.55,317.7,Medium
O00080,2024-07-08,C0197,P015,4,95.0,0.1,342.0,228.0,114.0,Low
O00081,2024-11-05,C0020,P023,4,149.61,0.05,568.52,359.06,209.46,Low
O00082,2024-09-09,C0134,P017,2,155.6,0.0,311.2,186.72,124.48,Low
O00083,2024-11-03,C0123,P015,2,95.0,0.0,190.0,114.0,76.0,Low
O00084,2024-04-18,C0020,P021,4,307.87,0.0,1231.48,738.89,492.59,High
O00085,2024-02-24,C0056,P030,8,27.99,0.1,201.53,134.35,67.18,Low
O00086,2023-02-08,C0034,P044,3,455.11,0.1,1228.8,819.2,409.6,Medium
O00087,2023-05-24,C0050,P031,3,305.73,0.05,871.33,550.31,321.02,Low
O00088,2024-05-29,C0043,P041,2,65.41,0.05,124.28,78.49,45.79,High
O00089,2023-01-18,C0088,P014,6,110.11,0.0,660.66,396.4,264.26,High
O00090,2024-02-12,C0029,P018,2,264.75,0.1,476.55,317.7,158.85,Low
O00091,2023-09-08,C0180,P044,2,455.11,0.0,910.22,546.13,364.09,Medium
O00092,2023-05-24,C0062,P013,2,417.06,0.0,834.12,500.47,333.65,Low
O00093,2023-11-06,C0155,P042,8,250.11,0.15,1700.75,1200.53,500.22,Critical
O00094,2024-04-21,C0048,P041,3,65.41,0.0,196.23,117.74,78.49,High
O00095,2023-08-25,C0155,P003,3,367.34,0.05,1046.92,661.21,385.71,High
O00096,2024-09-05,C0041,P041,3,65.41,0.0,196.23,117.74,78.49,Critical
O00097,2023-01-16,C0152,P001,7,190.4,0.0,1332.8,799.68,533.12,Critical
O00098,2024-05-19,C0051,P043,4,22.02,0.05,83.68,52.85,30.83,High
O00099,2024-04-16,C0166,P030,3,27.99,0.0,83.97,50.38,33.59,Critical
O00100,2023-12-07,C0144,P040,5,222.88,0.15,947.24,668.64,278.6,Medium
O00101,2023-07-01,C0198,P046,2,332.95,0.0,665.9,399.54,266.36,High
O00102,2023-08-07,C0046,P030,4,27.99,0.0,111.96,67.18,44.78,Critical
O00103,2024-03-06,C0034,P026,3,393.66,0.15,1003.83,708.59,295.24,High
O00104,2023-06-08,C0053,P004,1,301.34,0.0,301.34,180.8,120.54,Low
O00105,2024-04-02,C0172,P019,3,218.81,0.1,590.79,393.86,196.93,Low
O00106,2024-01-13,C0189,P009,5,302.55,0.0,1512.75,907.65,605.1,Critical
O00107,2024-08-05,C0176,P008,3,433.76,0.0,1301.28,780.77,520.51,Critical
O00108,2023-03-03,C0120,P050,3,96.5,0.0,289.5,173.7,115.8,Medium
O00109,2023-05-02,C0096,P035,1,482.99,0.15,410.54,289.79,120.75,Critical
O00110,2023-11-04,C0153,P024,6,186.35,0.0,1118.1,670.86,447.24,Medium
O00111,2024-10-20,C0119,P032,4,89.41,0.05,339.76,214.58,125.18,Medium
O00112,2023-11-03,C0016,P004,4,301.34,0.1,1084.82,723.22,361.6,Critical
O00113,2024-01-26,C0086,P017,3,155.6,0.0,466.8,280.08,186.72,Critical
O00114,2024-12-28,C0195,P043,3,22.02,0.0,66.06,39.64,26.42,High
O00115,2023-04-07,C0011,P030,6,27.99,0.1,151.15,100.76,50.39,Critical
O00116,2023-06-19,C0141,P035,5,482.99,0.05,2294.2,1448.97,845.23,Critical
O00117,2023-02-09,C0167,P012,3,485.11,0.05,1382.56,873.2,509.36,High
O00118,2023-04-23,C0106,P001,2,190.4,0.15,323.68,228.48,95.2,Low
O00119,2023-07-18,C0062,P039,2,343.7,0.0,687.4,412.44,274.96,Critical
O00120,2024-11-10,C0068,P029,1,298.25,0.1,268.42,178.95,89.47,Medium
O00121,2024-08-27,C0071,P008,4,433.76,0.05,1648.29,1041.02,607.27,High
O00122,2024-09-23,C0177,P034,2,474.7,0.0,949.4,569.64,379.76,Medium
O00123,2023-05-06,C0066,P008,2,433.76,0.05,824.14,520.51,303.63,Medium
O00124,2024-01-03,C0098,P038,5,53.35,0.05,253.41,160.05,93.36,Critical
O00125,2024-05-12,C0094,P030,3,27.99,0.0,83.97,50.38,33.59,Medium
O00126,2023-05-29,C0091,P041,3,65.41,0.0,196.23,117.74,78.49,Low
O00127,2023-01-04,C0003,P031,3,305.73,0.05,871.33,550.31,321.02,Medium
O00128,2024-02-01,C0119,P048,3,262.43,0.0,787.29,472.37,314.92,Critical
O00129,2024-06-03,C0046,P037,3,155.78,0.0,467.34,280.4,186.94,Low
O00130,2024-03-27,C0021,P025,4,230.75,0.05,876.85,553.8,323.05,High
O00131,2024-09-20,C0200,P002,1,475.6,0.15,404.26,285.36,118.9,Medium
O00132,2024-11-15,C0050,P035,8,482.99,0.0,3863.92,2318.35,1545.57,Low
O00133,2023-03-10,C0018,P012,2,485.11,0.1,873.2,582.13,291.07,High
O00134,2024-04-24,C0003,P007,4,33.75,0.0,135.0,81.0,54.0,Low
O00135,2023-08-20,C0103,P048,4,262.43,0.05,997.23,629.83,367.4,Critical
O00136,2024-12-23,C0174,P032,5,89.41,0.0,447.05,268.23,178.82,Low
O00137,2024-08-21,C0125,P029,4,298.25,0.0,1193.0,715.8,477.2,Medium
O00138,2023-09-29,C0155,P034,3,474.7,0.1,1281.69,854.46,427.23,Medium
O00139,2023-02-07,C0053,P011,2,15.19,0.0,30.38,18.23,12.15,High
O00140,2024-04-24,C0026,P031,5,305.73,0.15,1299.35,917.19,382.16,Medium
O00141,2023-09-14,C0186,P009,1,302.55,0.15,257.17,181.53,75.64,Critical
O00142,2023-08-30,C0138,P016,1,95.79,0.0,95.79,57.47,38.32,Critical
O00143,2024-08-29,C0177,P035,3,482.99,0.1,1304.07,869.38,434.69,Low
O00144,2023-04-06,C0144,P042,3,250.11,0.0,750.33,450.2,300.13,Low
O00145,2024-04-22,C0045,P021,1,307.87,0.0,307.87,184.72,123.15,High
O00146,2024-10-25,C0088,P008,3,433.76,0.0,1301.28,780.77,520.51,Critical
O00147,2024-02-03,C0192,P036,4,405.16,0.05,1539.61,972.38,567.23,Low
O00148,2023-06-05,C0199,P003,6,367.34,0.0,2204.04,1322.42,881.62,Low
O00149,2024-02-07,C0096,P035,3,482.99,0.15,1231.62,869.38,362.24,Medium
O00150,2023-09-03,C0183,P043,2,22.02,0.1,39.64,26.42,13.22,Critical
O00151,2023-11-08,C0186,P022,4,74.05,0.15,251.77,177.72,74.05,High
O00152,2024-07-05,C0100,P028,2,259.55,0.0,519.1,311.46,207.64,Medium
O00153,2023-06-12,C0191,P022,3,74.05,0.1,199.93,133.29,66.64,Critical
O00154,2023-02-05,C0117,P021,4,307.87,0.0,1231.48,738.89,492.59,Low
O00155,2024-07-30,C0078,P026,4,393.66,0.0,1574.64,944.78,629.86,High
O00156,2023-09-08,C0095,P045,3,133.1,0.0,399.3,239.58,159.72,High
O00157,2024-03-04,C0159,P023,4,149.61,0.1,538.6,359.06,179.54,High
O00158,2024-06-13,C0115,P007,4,33.75,0.0,135.0,81.0,54.0,Medium
O00159,2023-07-22,C0170,P001,3,190.4,0.0,571.2,342.72,228.48,Critical
O00160,2023-07-14,C0100,P020,3,149.16,0.1,402.73,268.49,134.24,Low
O00161,2024-04-02,C0174,P027,3,103.84,0.05,295.94,186.91,109.03,Critical
O00162,2024-09-17,C0023,P030,1,27.99,0.0,27.99,16.79,11.2,High
O00163,2024-03-30,C0032,P032,2,89.41,0.1,160.94,107.29,53.65,Low
O00164,2024-02-08,C0169,P013,2,417.06,0.1,750.71,500.47,250.24,Critical
O00165,2024-01-27,C0064,P045,3,133.1,0.05,379.33,239.58,139.75,High
O00166,2023-07-15,C0040,P012,2,485.11,0.05,921.71,582.13,339.58,Low
O00167,2024-09-23,C0013,P031,2,305.73,0.05,580.89,366.88,214.01,High
O00168,2023-08-22,C0089,P003,1,367.34,0.05,348.97,220.4,128.57,Medium
O00169,2024-11-10,C0019,P028,5,259.55,0.0,1297.75,778.65,519.1,High
O00170,2024-08-16,C0127,P039,2,343.7,0.0,687.4,412.44,274.96,High
O00171,2024-11-25,C0113,P011,3,15.19,0.0,45.57,27.34,18.23,Low
O00172,2024-06-28,C0136,P025,1,230.75,0.1,207.68,138.45,69.23,Critical
O00173,2023-05-27,C0163,P006,4,82.22,0.0,328.88,197.33,131.55,Medium
O00174,2024-12-24,C0179,P027,8,103.84,0.05,789.18,498.43,290.75,High
O00175,2023-07-04,C0016,P041,2,65.41,0.0,130.82,78.49,52.33,Medium
O00176,2024-01-11,C0088,P039,4,343.7,0.0,1374.8,824.88,549.92,High
O00177,2023-05-02,C0096,P005,5,82.23,0.0,411.15,246.69,164.46,High
O00178,2024-03-10,C0003,P037,2,155.78,0.0,311.56,186.94,124.62,High
O00179,2024-05-22,C0034,P037,3,155.78,0.0,467.34,280.4,186.94,Medium
O00180,2024-08-07,C0060,P049,7,275.62,0.0,1929.34,1157.6,771.74,Critical
O00181,2024-01-22,C0175,P017,4,155.6,0.0,622.4,373.44,248.96,Critical
O00182,2024-02-11,C0043,P022,3,74.05,0.15,188.83,133.29,55.54,Low
O00183,2024-03-24,C0020,P007,3,33.75,0.05,96.19,60.75,35.44,Medium
O00184,2023-06-06,C0073,P037,5,155.78,0.1,701.01,467.34,233.67,Low
O00185,2023-11-10,C0183,P025,2,230.75,0.1,415.35,276.9,138.45,Critical
O00186,2024-04-17,C0015,P032,3,89.41,0.1,241.41,160.94,80.47,High
O00187,2023-01-02,C0013,P024,3,186.35,0.15,475.19,335.43,139.76,Medium
O00188,2023-12-26,C0016,P014,3,110.11,0.1,297.3,198.2,99.1,High
O00189,2024-06-14,C0128,P047,5,159.3,0.15,677.02,477.9,199.12,Low
O00190,2023-03-09,C0033,P002,4,475.6,0.0,1902.4,1141.44,760.96,Critical
O00191,2024-12-12,C0159,P021,3,307.87,0.05,877.43,554.17,323.26,Low
O00192,2024-10-04,C0036,P049,1,275.62,0.05,261.84,165.37,96.47,Medium
O00193,2023-02-19,C0052,P016,3,95.79,0.1,258.63,172.42,86.21,Medium
O00194,2024-02-23,C0119,P043,3,22.02,0.15,56.15,39.64,16.51,Low
O00195,2024-09-15,C0034,P033,2,37.2,0.15,63.24,44.64,18.6,Low
O00196,2023-03-19,C0019,P033,3,37.2,0.15,94.86,66.96,27.9,Critical
O00197,2024-11-22,C0068,P006,5,82.22,0.15,349.44,246.66,102.78,Low
O00198,2023-06-02,C0022,P033,4,37.2,0.15,126.48,89.28,37.2,Critical
O00199,2023-12-10,C0081,P044,5,455.11,0.05,2161.77,1365.33,796.44,Medium
O00200,2024-07-27,C0163,P019,3,218.81,0.1,590.79,393.86,196.93,Low
O00201,2024-02-27,C0196,P027,1,103.84,0.15,88.26,62.3,25.96,Low
O00202,2023-10-20,C0147,P018,5,264.75,0.1,1191.38,794.25,397.13,Low
O00203,2024-02-20,C0111,P045,4,133.1,0.1,479.16,319.44,159.72,Critical
O00204,2023-12-16,C0047,P024,1,186.35,0.0,186.35,111.81,74.54,Low
O00205,2024-12-08,C0187,P010,4,355.5,0.0,1422.0,853.2,568.8,High
O00206,2024-05-12,C0186,P025,1,230.75,0.0,230.75,138.45,92.3,Low
O00207,2023-06-14,C0091,P038,3,53.35,0.1,144.05,96.03,48.02,Critical
O00208,2023-07-22,C0052,P050,3,96.5,0.1,260.55,173.7,86.85,High
O00209,2023-05-13,C0046,P021,4,307.87,0.15,1046.76,738.89,307.87,Critical
O00210,2024-08-08,C0028,P050,4,96.5,0.15,328.1,231.6,96.5,Critical
O00211,2023-05-17,C0085,P011,2,15.19,0.05,28.86,18.23,10.63,High
O00212,2024-10-22,C0064,P021,3,307.87,0.05,877.43,554.17,323.26,High
O00213,2023-08-18,C0039,P035,4,482.99,0.15,1642.17,1159.18,482.99,Medium
O00214,2024-03-17,C0197,P011,4,15.19,0.0,60.76,36.46,24.3,Medium
O00215,2024-12-29,C0075,P047,3,159.3,0.0,477.9,286.74,191.16,Critical
O00216,2023-02-17,C0018,P050,2,96.5,0.1,173.7,115.8,57.9,Low
O00217,2023-11-09,C0048,P025,3,230.75,0.0,692.25,415.35,276.9,Critical
O00218,2024-09-16,C0097,P045,3,133.1,0.15,339.4,239.58,99.82,Critical
O00219,2024-12-15,C0109,P002,2,475.6,0.0,951.2,570.72,380.48,High
O00220,2023-07-26,C0127,P012,3,485.11,0.0,1455.33,873.2,582.13,Medium
O00221,2023-01-28,C0105,P042,2,250.11,0.0,500.22,300.13,200.09,Low
O00222,2023-10-16,C0014,P025,2,230.75,0.0,461.5,276.9,184.6,Low
O00223,2024-12-19,C0029,P027,3,103.84,0.05,295.94,186.91,109.03,Medium
O00224,2023-06-08,C0187,P014,2,110.11,0.0,220.22,132.13,88.09,Low
O00225,2023-10-15,C0116,P012,5,485.11,0.1,2183.0,1455.33,727.67,Critical
O00226,2023-08-15,C0044,P046,3,332.95,0.0,998.85,599.31,399.54,Critical
O00227,2024-02-13,C0008,P029,2,298.25,0.0,596.5,357.9,238.6,High
O00228,2023-12-25,C0085,P023,2,149.61,0.0,299.22,179.53,119.69,Medium
O00229,2023-10-03,C0034,P010,2,355.5,0.1,639.9,426.6,213.3,Critical
O00230,2024-12-09,C0114,P004,1,301.34,0.0,301.34,180.8,120.54,Low
O00231,2024-02-12,C0066,P006,2,82.22,0.0,164.44,98.66,65.78,Low
O00232,2023-11-21,C0157,P042,4,250.11,0.1,900.4,600.26,300.14,High
O00233,2024-04-29,C0181,P048,2,262.43,0.1,472.37,314.92,157.45,High
O00234,2023-02-23,C0195,P030,3,27.99,0.05,79.77,50.38,29.39,High
O00235,2024-03-25,C0145,P019,1,218.81,0.05,207.87,131.29,76.58,High
O00236,2023-02-03,C0062,P025,2,230.75,0.05,438.42,276.9,161.52,High
O00237,2023-08-03,C0135,P021,1,307.87,0.0,307.87,184.72,123.15,Low
O00238,2024-07-20,C0174,P047,5,159.3,0.05,756.68,477.9,278.78,Medium
O00239,2023-06-26,C0047,P006,3,82.22,0.0,246.66,148.0,98.66,Critical
O00240,2024-03-31,C0014,P036,4,405.16,0.05,1539.61,972.38,567.23,Critical
O00241,2024-03-05,C0169,P016,4,95.79,0.0,383.16,229.9,153.26,High
O00242,2024-12-06,C0169,P001,2,190.4,0.0,380.8,228.48,152.32,Critical
O00243,2024-10-07,C0181,P048,5,262.43,0.15,1115.33,787.29,328.04,High
O00244,2024-05-15,C0037,P023,5,149.61,0.1,673.25,448.83,224.42,Medium
O00245,2024-02-06,C0068,P030,2,27.99,0.0,55.98,33.59,22.39,Medium
O00246,2024-10-22,C0081,P036,3,405.16,0.15,1033.16,729.29,303.87,High
O00247,2023-05-28,C0136,P033,5,37.2,0.15,158.1,111.6,46.5,Critical
O00248,2023-01-11,C0054,P043,1,22.02,0.0,22.02,13.21,8.81,Medium
O00249,2023-03-04,C0089,P030,4,27.99,0.05,106.36,67.18,39.18,High
O00250,2024-08-19,C0033,P010,2,355.5,0.0,711.0,426.6,284.4,Medium
O00251,2023-05-05,C0018,P029,4,298.25,0.0,1193.0,715.8,477.2,Critical
O00252,2024-01-06,C0153,P003,6,367.34,0.0,2204.04,1322.42,881.62,Medium
O00253,2023-10-19,C0118,P003,2,367.34,0.05,697.95,440.81,257.14,Critical
O00254,2024-08-06,C0089,P016,2,95.79,0.0,191.58,114.95,76.63,Critical
O00255,2023-08-12,C0025,P022,3,74.05,0.0,222.15,133.29,88.86,Critical
O00256,2024-05-03,C0188,P021,2,307.87,0.0,615.74,369.44,246.3,Low
O00257,2024-03-12,C0175,P025,3,230.75,0.0,692.25,415.35,276.9,High
O00258,2024-12-26,C0090,P002,3,475.6,0.1,1284.12,856.08,428.04,High
O00259,2024-02-09,C0151,P022,3,74.05,0.05,211.04,133.29,77.75,Critical
O00260,2023-08-07,C0121,P033,2,37.2,0.0,74.4,44.64,29.76,Medium
O00261,2024-10-25,C0127,P001,3,190.4,0.05,542.64,342.72,199.92,Critical
O00262,2023-06-09,C0103,P019,2,218.81,0.0,437.62,262.57,175.05,Critical
O00263,2023-08-29,C0160,P010,3,355.5,0.0,1066.5,639.9,426.6,Medium
O00264,2024-01-02,C0198,P037,3,155.78,0.0,467.34,280.4,186.94,High
O00265,2023-10-14,C0192,P003,4,367.34,0.1,1322.42,881.62,440.8,Critical
O00266,2024-07-18,C0102,P024,4,186.35,0.0,745.4,447.24,298.16,Medium
O00267,2023-08-08,C0176,P003,3,367.34,0.0,1102.02,661.21,440.81,High
O00268,2023-11-16,C0138,P015,2,95.0,0.0,190.0,114.0,76.0,Low
O00269,2024-09-30,C0132,P001,2,190.4,0.05,361.76,228.48,133.28,Low
O00270,2023-10-01,C0149,P005,6,82.23,0.1,444.04,296.03,148.01,Medium
O00271,2023-06-03,C0123,P020,1,149.16,0.1,134.24,89.5,44.74,High
O00272,2023-10-08,C0007,P035,5,482.99,0.1,2173.46,1448.97,724.49,Low
O00273,2023-01-14,C0142,P013,1,417.06,0.0,417.06,250.24,166.82,High
O00274,2024-10-29,C0145,P003,3,367.34,0.15,936.72,661.21,275.51,Medium
O00275,2023-03-10,C0033,P017,3,155.6,0.0,466.8,280.08,186.72,High
O00276,2024-05-06,C0049,P008,7,433.76,0.0,3036.32,1821.79,1214.53,Medium
O00277,2023-11-15,C0156,P033,4,37.2,0.0,148.8,89.28,59.52,Low
O00278,2023-02-28,C0138,P026,5,393.66,0.0,1968.3,1180.98,787.32,High
O00279,2023-12-08,C0052,P012,3,485.11,0.0,1455.33,873.2,582.13,Low
O00280,2023-03-28,C0042,P021,2,307.87,0.05,584.95,369.44,215.51,Critical
O00281,2024-06-09,C0177,P035,4,482.99,0.1,1738.76,1159.18,579.58,High
O00282,2023-04-10,C0088,P020,5,149.16,0.05,708.51,447.48,261.03,Medium
O00283,2024-09-24,C0106,P021,2,307.87,0.05,584.95,369.44,215.51,Critical
O00284,2024-04-17,C0076,P036,3,405.16,0.05,1154.71,729.29,425.42,High
O00285,2023-02-22,C0147,P040,2,222.88,0.1,401.18,267.46,133.72,Critical
O00286,2024-07-09,C0014,P021,3,307.87,0.05,877.43,554.17,323.26,Medium
O00287,2023-06-27,C0188,P045,4,133.1,0.1,479.16,319.44,159.72,Low
O00288,2024-05-21,C0056,P018,3,264.75,0.0,794.25,476.55,317.7,Low
O00289,2024-10-14,C0077,P030,3,27.99,0.15,71.37,50.38,20.99,High
O00290,2023-12-30,C0152,P024,2,186.35,0.05,354.06,223.62,130.44,Critical
O00291,2023-08-15,C0175,P012,2,485.11,0.15,824.69,582.13,242.56,Medium
O00292,2024-08-12,C0085,P046,1,332.95,0.0,332.95,199.77,133.18,Medium
O00293,2024-08-10,C0157,P038,2,53.35,0.0,106.7,64.02,42.68,Critical
O00294,2024-12-07,C0079,P021,4,307.87,0.15,1046.76,738.89,307.87,Critical
O00295,2023-04-03,C0071,P025,5,230.75,0.0,1153.75,692.25,461.5,Low
O00296,2024-08-07,C0087,P026,2,393.66,0.05,747.95,472.39,275.56,Low
O00297,2023-06-25,C0196,P043,4,22.02,0.1,79.27,52.85,26.42,High
O00298,2023-06-06,C0121,P034,4,474.7,0.0,1898.8,1139.28,759.52,Medium
O00299,2024-06-28,C0023,P014,6,110.11,0.1,594.59,396.4,198.19,Critical
O00300,2024-08-12,C0148,P022,4,74.05,0.0,296.2,177.72,118.48,High
O00301,2023-10-12,C0080,P016,1,95.79,0.1,86.21,57.47,28.74,Critical
O00302,2024-12-16,C0135,P029,3,298.25,0.0,894.75,536.85,357.9,Critical
O00303,2023-06-14,C0090,P024,2,186.35,0.1,335.43,223.62,111.81,Low
O00304,2023-01-27,C0194,P025,2,230.75,0.0,461.5,276.9,184.6,High
O00305,2024-12-20,C0126,P045,2,133.1,0.1,239.58,159.72,79.86,Medium
O00306,2024-05-10,C0178,P029,1,298.25,0.0,298.25,178.95,119.3,Critical
O00307,2024-11-20,C0029,P001,4,190.4,0.05,723.52,456.96,266.56,High
O00308,2024-02-10,C0141,P006,2,82.22,0.0,164.44,98.66,65.78,High
O00309,2024-02-24,C0075,P010,4,355.5,0.0,1422.0,853.2,568.8,Low
O00310,2023-02-08,C0060,P018,4,264.75,0.0,1059.0,635.4,423.6,High
O00311,2023-12-13,C0127,P044,4,455.11,0.0,1820.44,1092.26,728.18,High
O00312,2024-07-22,C0145,P035,4,482.99,0.0,1931.96,1159.18,772.78,Critical
O00313,2023-05-26,C0030,P005,3,82.23,0.05,234.36,148.01,86.35,High
O00314,2023-11-08,C0078,P006,2,82.22,0.0,164.44,98.66,65.78,Critical
O00315,2024-08-12,C0024,P049,3,275.62,0.0,826.86,496.12,330.74,Low
O00316,2023-04-14,C0107,P035,4,482.99,0.0,1931.96,1159.18,772.78,High
O00317,2024-05-14,C0104,P019,3,218.81,0.1,590.79,393.86,196.93,Low
O00318,2024-09-07,C0054,P017,4,155.6,0.05,591.28,373.44,217.84,Critical
